,Date,Startup,Industry,Location,Investor,Type,Amount
166,20-11-2019,Aye Finance ,FinTech,Gurgaon,FinTech,Debt Funding,"1,74,11,265"
167,12-11-2019,SuperGaming ,Video Games,Pune,Dream Incubator,Seed Funding,"13,00,000"
168,20-11-2019,Clumio,SaaS,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000"
169,11-11-2019,eBikeGo,Last Mile Transportation,Amritsar,Startup Buddy,Seed,"3,00,000"
170,19-11-2019,Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed Funding,"22,00,00,000"
171,18-11-2019,Medikabazaar,Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000"
172,15-11-2019,Vogo Automotive,Last Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"28,30,00,000"
173,19-11-2019,Furtados School of Music,Education,Tulangan, IAN Fund and DSG Consumer Partners,,"20,00,00,000"
174,25-11-2019,Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round ,"1,00,00,00,000"
175,04-10-2019,Dunzo,Customer Service,Bengaluru,Lightbox,Series D,"4,50,00,000"
176,02-10-2019,Udaan,B2B,Bengaluru,"Altimeter Capital, DST Global",Series D,"58,50,00,000"
177,21-10-2019,"The Man Company 
",Consumer Goods,Gurgaon,Ayushmann Khurana,Corporate Round,unknown
178,05-09-2019,FPL Technologies,FinTech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"45,00,000"
179,04-09-2019,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,"33,00,000"
180,04-09-2019,Digital F5,"Advertising, Marketing",Mumbai,TIW Private Equity,Private Equity Round,"60,00,000"
181,04-09-2019,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,"50,00,000"
182,04-09-2019,75F,IoT,Burnsville,Breakthrough Energy Ventures,Series A,"1,80,00,000"
183,04-09-2019,Myelin Foundry,Information Technology,Bengaluru,Endiya Partners,Seed,"10,00,000"
184,04-09-2019,Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series A,"1,00,00,000"
185,04-09-2019,GOQii,Health and Wellness,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"45,00,00,000"
186,03-09-2019,Vyapar App,Accounting,Bengaluru,"India Quotient, Axilor Ventures",Series A,"50,00,000"
187,,,,,,,
188,01-08-2019,CarDekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,"2,00,00,000"
189,01-08-2019,Progcap,Finance,New Delhi,Sequoia India,Series A,"50,00,000"
190,01-08-2019,MyPetrolPump,Retail,Bengaluru,,Seed Funding Round,"16,00,000"
191,01-08-2019,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Single Venture,"14,00,00,000"
192,01-08-2019,Pine Labs,Information Technology,Noida,Pine Labs Pte Ltd,Corporate Round,"3,80,80,000"
193,12-08-2019,Meesho,E-Commerce,Bengaluru,Naspers,Series D,"12,50,00,000"
194,13-08-2019,Cars24,E-Commerce,Gurugram,MS Dhoni,Series D,"1,10,00,000"
